N,X,Y,Z
1,866.824372,-705.113574,581.097628
2,869.630854,-704.424159,585.92394
3,869.974078,-704.424003,585.679397
4,866.482521,-705.121045,581.341838
5,869.170518,-704.422787,586.252104
6,866.020112,-705.129572,581.671815
7,869.775788,-698.310869,586.248662
8,868.798661,-698.300277,586.94578
9,865.910693,-699.18559,580.622933
10,864.933873,-699.202667,581.319935
11,815.915177,-700.195262,552.335998
12,809.229171,-699.916488,551.062142
13,810.771626,-700.014753,551.611076
14,811.455511,-699.407099,546.474139
15,833.487522,-700.470016,555.698941
16,826.02674,-700.559221,555.587436
17,833.218603,-700.652039,557.68585
18,833.237859,-700.665513,557.868314
19,831.321278,-700.853484,560.211788
20,827.691564,-700.884666,560.358483
21,831.375393,-700.477723,555.34209
22,831.507817,-700.482829,555.418964
23,824.020022,-700.529228,555.198844
24,823.02801,-700.360565,553.425678
25,815.741788,-700.269195,553.122652
26,815.820007,-700.25814,552.992118
27,810.728715,-700.091537,552.422523
28,810.68788,-700.076666,552.275157
29,806.470273,-700.206285,555.992645
30,807.601044,-700.312054,557.081412
31,810.861562,-700.102285,552.498984
32,812.573133,-700.343233,554.81666
33,812.174031,-700.502092,557.489007
34,812.591893,-700.357159,555.000424
35,810.037595,-700.469509,558.39811
36,807.822881,-700.386479,558.609817
37,803.255912,-700.177273,559.242953
38,798.79511,-699.909486,559.613167
39,804.380095,-700.261701,560.335057
40,806.52504,-700.393755,563.281104
41,802.323044,-700.119371,564.62511
42,862.328213,-699.756102,575.2339
43,857.246911,-700.118003,574.577163
44,860.294331,-699.907391,575.016966
45,857.549372,-700.150758,572.521363
46,846.755625,-700.642693,564.720871
47,843.699897,-700.802198,571.479207
48,853.266747,-700.303781,564.848253
49,857.022835,-700.171638,568.104381
50,856.757991,-700.202033,572.407231
51,856.308118,-700.139001,575.453634
52,853.479368,-700.306489,575.046288
53,788.948689,-696.336317,584.453818
54,782.220778,-695.613418,583.4629
55,786.383255,-696.015507,584.324801
56,785.610044,-695.898458,584.361122
57,784.613623,-696.218469,582.289677
58,783.151161,-695.994221,582.361565
59,785.588182,-696.137614,583.289308
60,786.356669,-696.252903,583.249746
61,805.010837,-700.21158,567.151904
62,805.007568,-700.17442,567.963433
63,817.557731,-700.596605,572.186839
64,818.892815,-700.88078,566.107739
65,812.251108,-700.665478,563.486672
66,798.475693,-697.984812,581.951327
67,802.565024,-698.487147,581.411397
68,798.134506,-697.966561,581.856598
69,790.234847,-697.671663,578.500287
70,791.539201,-698.658433,572.495605
71,800.604978,-699.690214,570.521245
72,803.869447,-699.473918,575.406774
73,801.278841,-697.151808,587.364891
74,797.282047,-696.210858,589.355945
75,795.317434,-697.226487,584.016702
76,800.452723,-697.643413,584.73272
77,863.645256,-698.091824,590.664596
78,858.59584,-698.480674,589.934591
79,862.202803,-697.558399,593.932877
80,831.417707,-700.395276,554.532062
81,836.536499,-700.344903,555.260945
82,833.612428,-699.796163,550.129997
83,831.230533,-700.889279,560.861179
84,832.027517,-700.886402,560.974513
85,833.741632,-700.666452,557.995273
86,832.118241,-700.850359,560.325128
87,831.287785,-701.022524,568.842754
88,833.017522,-700.946766,562.586105
89,833.109111,-700.918693,561.936599
90,829.925989,-700.92904,561.484054
91,829.834336,-700.956103,562.133597
92,869.628922,-698.743936,582.286778
93,781.431271,-695.486013,583.503791
94,780.050352,-695.90517,580.638652
95,776.995561,-694.660006,584.057264
96,782.363037,-695.959171,581.997434
97,783.132472,-696.988896,577.189751
98,785.511812,-696.413045,581.957686
99,786.23735,-697.90837,573.713678
100,783.968999,-696.307398,581.435274
101,775.773966,-694.027348,585.755523
102,778.425096,-693.880729,587.941577
103,776.323504,-693.649193,587.501488
104,775.678713,-693.735603,586.784174
105,781.450453,-695.240903,584.55661
106,787.840596,-695.144831,588.658759
107,783.82441,-695.145962,586.395342
108,783.129412,-694.536783,588.303007
109,792.558289,-695.703301,589.00948
110,785.440071,-695.521665,585.840034
111,802.011363,-696.666371,589.698924
112,784.676538,-695.505487,585.452479
113,782.244883,-695.370098,584.519324
114,783.216538,-695.273038,585.5209
115,782.280942,-695.047305,585.859335
116,806.745689,-697.06873,590.039195
117,814.93241,-698.974151,584.237892
118,811.484443,-697.416925,590.377539
119,795.425015,-697.376216,583.354492
120,816.227002,-697.710122,590.714729
121,800.567353,-697.789237,584.080021
122,831.288657,-699.325049,586.51153
123,830.424569,-699.500405,585.355749
124,828.977318,-699.480895,585.222359
125,828.631561,-700.102667,580.968274
126,830.830724,-699.584729,584.905642
127,841.043327,-699.882355,583.604727
128,831.904983,-699.329635,586.573838
129,828.816058,-699.57017,584.655801
130,829.952518,-700.738347,574.921826
131,827.258221,-699.271513,586.104975
132,816.236918,-699.960925,578.23331
133,843.65825,-700.739193,563.973924
134,844.067445,-700.595505,561.489671
135,843.385997,-700.683648,562.550219
136,844.875674,-700.723573,564.758441
137,845.474813,-700.512209,561.147218
138,843.591671,-700.595738,561.184532
139,842.910763,-700.685361,562.244407
140,866.385235,-698.131218,589.355059
141,863.59122,-698.243201,589.77988
142,863.722407,-698.222252,589.859625
143,861.875812,-698.626131,587.971259
144,867.911508,-698.220236,588.02647
145,861.849718,-698.651654,587.807351
146,861.632935,-698.401873,589.496112
147,866.394775,-697.797847,591.367039
148,863.756395,-698.195693,590.008473
149,854.783432,-699.918864,580.089246
150,856.189481,-700.108655,576.247029
151,853.360507,-700.275412,575.83972
152,855.877756,-700.002418,578.312878
153,842.364436,-700.51803,577.558275
154,857.129138,-700.095064,575.370379
155,856.669681,-699.952562,578.427002
156,860.17667,-699.885156,575.810126
157,860.992443,-699.471967,581.313008
158,860.74474,-699.942036,571.391087
