M,type,N1,N2,N3,N4
73000544,QUAD,73038202,73038201,73000555,73000556.0
73000548,QUAD,73038201,73038203,73000557,73000555.0
73024355,QUAD,73038298,73022890,73022891,73038299.0
73024356,QUAD,73038349,73022884,73022886,73038294.0
73024359,QUAD,73038177,73022884,73022885,73038181.0
73024360,TRIA,73038177,73022887,73022884,
73024361,TRIA,73022892,73038330,73038344,
73024362,QUAD,73038348,73022897,73022894,73038232.0
73024363,QUAD,73038294,73022888,73038295,73022889.0
73024364,QUAD,73022889,73038295,73038299,73022891.0
73024365,QUAD,73038185,73022896,73022894,73038187.0
73024366,QUAD,73038340,73038330,73022892,73022893.0
73024367,TRIA,73038340,73022893,73038309,
73024368,QUAD,73038187,73022894,73022895,73038186.0
73024369,TRIA,73022901,73038195,73022898,
73024370,QUAD,73038205,73022902,73022903,73038204.0
73024371,QUAD,73038195,73022898,73022899,73038200.0
73024372,QUAD,73038326,73038352,73022898,73022900.0
73024373,QUAD,73038204,73022903,73022904,73038206.0
73038987,QUAD,73038213,73038216,73038215,73038214.0
73038988,QUAD,73038217,73038211,73038219,73038218.0
73038989,QUAD,73038220,73038223,73038222,73038221.0
73038990,QUAD,73038214,73038220,73038224,73038213.0
73038991,QUAD,73038225,73038228,73038227,73038226.0
73038992,QUAD,73038216,73038226,73038227,73038215.0
73038993,QUAD,73038228,73038232,73038231,73038230.0
73038994,QUAD,73038210,73038233,73038226,73038216.0
73038995,QUAD,73038215,73038235,73038234,73038214.0
73038996,QUAD,73038233,73038236,73038225,73038226.0
73038997,QUAD,73038235,73038215,73038227,73038237.0
73038998,QUAD,73038216,73038213,73038212,73038210.0
73038999,QUAD,73038214,73038234,73038223,73038220.0
73039000,QUAD,73038211,73038217,73038233,73038210.0
73039001,QUAD,73038238,73038241,73038240,73038239.0
73039002,QUAD,73038240,73038243,73038242,73038239.0
73039003,QUAD,73038244,73038246,73038238,73038245.0
73039004,QUAD,73038247,73038244,73038245,73038248.0
73039005,QUAD,73038249,73038252,73038251,73038250.0
73039006,QUAD,73038252,73038254,73038253,73038251.0
73039007,QUAD,73038255,73038257,73038246,73038256.0
73039008,QUAD,73038254,73038255,73038256,73038253.0
73039009,QUAD,73038246,73038257,73038241,73038238.0
73039010,QUAD,73038258,73038261,73038260,73038259.0
73039011,QUAD,73038261,73038263,73038262,73038260.0
73039012,QUAD,73038248,73038245,73038265,73038264.0
73039013,QUAD,73038266,73038268,73038267,73038247.0
73039014,QUAD,73038263,73038269,73038267,73038262.0
73039015,QUAD,73038270,73038272,73038264,73038271.0
73039016,QUAD,73038273,73038275,73038274,73038271.0
73039017,QUAD,73038276,73038279,73038278,73038277.0
73039018,QUAD,73038280,73038240,73038241,73038281.0
73039019,QUAD,73038282,73038285,73038284,73038283.0
73039020,QUAD,73038286,73038266,73038287,73038283.0
73039021,QUAD,73038266,73038247,73038248,73038287.0
73039022,QUAD,73038190,73038288,73038289,73038193.0
73039023,QUAD,73038290,73038292,73038291,73038288.0
73039024,QUAD,73022888,73038294,73038349,73038297.0
73039025,QUAD,73022890,73038301,73038300,73022891.0
73039026,QUAD,73038305,73038306,73038249,73038250.0
73039027,QUAD,73038307,73038310,73038309,73038308.0
73039028,QUAD,73038311,73038314,73038313,73038312.0
73039029,QUAD,73038259,73038260,73038316,73038315.0
73039030,QUAD,73038317,73038320,73038319,73038318.0
73039031,QUAD,73038321,73038315,73038317,73038318.0
73039032,QUAD,73038326,73038329,73038328,73038327.0
73039033,QUAD,73038303,73038331,73038330,73038302.0
73039034,QUAD,73038332,73038333,73038322,73038323.0
73039035,QUAD,73038243,73038335,73038334,73038242.0
73039036,QUAD,73038229,73038336,73038209,73038207.0
73039037,QUAD,73038243,73038240,73038280,73038337.0
73039038,QUAD,73038338,73038339,73038321,73038318.0
73039039,QUAD,73022893,73038297,73038308,73038309.0
73039040,QUAD,73038341,73038207,73038208,73038342.0
73039041,QUAD,73038278,73038343,73038326,73038327.0
73039042,QUAD,73038297,73022893,73022892,73038296.0
73039043,QUAD,73038315,73038321,73038345,73038259.0
73039044,QUAD,73038339,73038348,73038347,73038346.0
73039045,QUAD,73022884,73038349,73038350,73022885.0
73039046,QUAD,73038325,73038351,73038298,73038299.0
73039047,QUAD,73038345,73038354,73038258,73038259.0
73039048,QUAD,73038321,73038339,73038346,73038345.0
73039049,QUAD,73038355,73038293,73038288,73038290.0
73039050,QUAD,73038288,73038291,73038194,73038190.0
73039051,QUAD,73038356,73038357,73038340,73038309.0
73039052,QUAD,73038302,73038330,73038340,73038357.0
73039053,QUAD,73038358,73038350,73038360,73038359.0
73039054,QUAD,73038361,73038363,73038279,73038362.0
73039055,QUAD,73038282,73038368,73038367,73038285.0
73039056,QUAD,73038239,73038242,73038273,73038265.0
73039057,QUAD,73038307,73038308,73038350,73038358.0
73039058,QUAD,73038318,73038319,73038369,73038338.0
73039059,QUAD,73038279,73038363,73038343,73038278.0
73039060,QUAD,73038370,73038361,73038249,73038306.0
73039061,QUAD,73038371,73038372,73038280,73038281.0
73039062,QUAD,73038373,73038374,73038370,73038306.0
73039063,QUAD,73038306,73038305,73038375,73038373.0
73039064,QUAD,73038347,73038348,73038225,73038236.0
73039065,QUAD,73038274,73038310,73038307,73038376.0
73039066,QUAD,73038377,73038187,73038185,73038378.0
73039067,QUAD,73022888,73038296,73038325,73038295.0
73039068,QUAD,73038384,73038385,73038292,73038290.0
73039069,QUAD,73038333,73038332,73038386,73038337.0
73039070,QUAD,73038334,73038335,73038311,73038387.0
73039071,QUAD,73038184,73038185,73038187,73038188.0
73039072,QUAD,73038252,73038362,73038388,73038254.0
73039073,QUAD,73038202,73038390,73038389,73038201.0
