M,type,N1,N2,N3
1,TRIA,1,2,3
2,TRIA,1,4,5
3,TRIA,1,3,4
4,TRIA,5,4,6
5,TRIA,7,3,2
6,TRIA,8,4,3
7,TRIA,8,3,7
8,TRIA,9,7,2
9,TRIA,9,2,1
10,TRIA,10,9,5
11,TRIA,10,5,6
12,TRIA,1,5,9
13,TRIA,10,6,4
14,TRIA,10,4,8
15,TRIA,11,12,13
16,TRIA,11,13,14
17,TRIA,13,15,16
18,TRIA,15,17,16
19,TRIA,16,17,18
20,TRIA,19,20,16
21,TRIA,19,21,22
22,TRIA,21,23,22
23,TRIA,22,24,19
24,TRIA,16,18,25
25,TRIA,26,27,28
26,TRIA,26,28,29
27,TRIA,30,31,32
28,TRIA,30,32,33
29,TRIA,34,35,36
30,TRIA,36,35,37
31,TRIA,36,37,38
32,TRIA,39,40,36
33,TRIA,41,42,43
34,TRIA,42,44,43
35,TRIA,43,45,41
36,TRIA,45,46,41
37,TRIA,47,48,49
38,TRIA,48,28,50
39,TRIA,28,51,50
40,TRIA,52,53,54
41,TRIA,54,53,55
42,TRIA,55,56,54
43,TRIA,57,58,56
44,TRIA,56,58,54
45,TRIA,59,60,41
46,TRIA,41,61,59
47,TRIA,61,62,59
48,TRIA,63,64,65
49,TRIA,66,67,68
50,TRIA,69,70,71
51,TRIA,72,73,74
52,TRIA,75,76,77
53,TRIA,78,79,80
54,TRIA,79,81,82
55,TRIA,9,83,7
56,TRIA,84,85,86
57,TRIA,42,87,86
58,TRIA,87,84,86
59,TRIA,88,85,84
60,TRIA,89,11,90
61,TRIA,91,92,93
62,TRIA,88,94,93
63,TRIA,85,88,93
64,TRIA,92,85,93
65,TRIA,60,59,95
66,TRIA,59,96,95
67,TRIA,87,41,97
68,TRIA,41,60,97
69,TRIA,42,41,87
70,TRIA,92,98,85
71,TRIA,43,98,92
72,TRIA,44,99,98
73,TRIA,43,100,45
74,TRIA,44,98,43
75,TRIA,101,92,91
76,TRIA,54,102,96
77,TRIA,102,103,96
78,TRIA,59,54,96
79,TRIA,104,105,106
80,TRIA,107,104,106
81,TRIA,105,108,106
82,TRIA,108,109,106
83,TRIA,110,105,104
84,TRIA,111,110,104
85,TRIA,112,111,113
86,TRIA,114,112,113
87,TRIA,109,114,113
88,TRIA,115,116,117
89,TRIA,36,38,39
90,TRIA,33,38,37
91,TRIA,118,33,37
92,TRIA,34,119,35
93,TRIA,119,120,35
94,TRIA,63,110,121
95,TRIA,122,108,105
96,TRIA,123,121,110
97,TRIA,111,123,110
98,TRIA,64,63,121
99,TRIA,123,124,121
100,TRIA,125,126,66
101,TRIA,126,67,66
102,TRIA,127,125,66
103,TRIA,127,128,129
104,TRIA,130,126,125
105,TRIA,127,129,125
106,TRIA,131,132,133
107,TRIA,131,133,134
108,TRIA,135,8,7
109,TRIA,136,135,7
110,TRIA,83,136,7
111,TRIA,137,133,138
112,TRIA,139,137,138
113,TRIA,140,139,138
114,TRIA,126,140,138
115,TRIA,134,133,141
116,TRIA,137,141,133
117,TRIA,142,76,73
118,TRIA,143,142,73
119,TRIA,144,143,73
120,TRIA,72,144,73
121,TRIA,75,77,145
122,TRIA,142,77,76
123,TRIA,139,136,137
124,TRIA,135,136,139
125,TRIA,146,147,148
126,TRIA,146,148,149
127,TRIA,149,148,150
128,TRIA,151,152,153
129,TRIA,153,152,154
130,TRIA,155,153,154
131,TRIA,71,151,153
132,TRIA,69,156,157
133,TRIA,70,69,157
134,TRIA,156,158,157
135,TRIA,158,159,157
136,TRIA,160,89,159
137,TRIA,158,160,159
138,TRIA,71,70,161
139,TRIA,151,71,161
140,TRIA,162,11,160
141,TRIA,11,89,160
142,TRIA,160,163,164
143,TRIA,165,166,167
144,TRIA,165,168,169
145,TRIA,165,167,170
146,TRIA,171,152,172
147,TRIA,152,151,172
148,TRIA,120,171,172
149,TRIA,163,173,174
150,TRIA,163,174,164
151,TRIA,173,175,176
152,TRIA,173,176,174
153,TRIA,175,156,177
154,TRIA,69,177,156
155,TRIA,175,177,176
156,TRIA,160,164,162
157,TRIA,178,179,180
158,TRIA,180,179,36
159,TRIA,78,80,180
160,TRIA,155,181,182
161,TRIA,145,181,155
162,TRIA,183,144,72
163,TRIA,183,72,177
164,TRIA,184,143,144
165,TRIA,181,145,77
166,TRIA,177,69,183
167,TRIA,72,185,177
168,TRIA,119,171,120
169,TRIA,152,170,167
170,TRIA,152,167,154
171,TRIA,170,168,165
172,TRIA,169,119,34
173,TRIA,36,186,34
174,TRIA,169,34,165
175,TRIA,186,179,154
176,TRIA,179,145,154
177,TRIA,155,154,145
178,TRIA,186,36,179
179,TRIA,180,36,78
180,TRIA,187,188,189
181,TRIA,22,185,72
182,TRIA,188,22,72
183,TRIA,22,162,185
184,TRIA,190,191,22
185,TRIA,191,162,22
186,TRIA,187,22,188
187,TRIA,50,24,22
188,TRIA,191,11,162
189,TRIA,83,9,192
190,TRIA,30,193,192
191,TRIA,9,30,192
192,TRIA,194,150,129
193,TRIA,194,129,135
194,TRIA,129,8,135
195,TRIA,149,150,194
196,TRIA,30,118,193
197,TRIA,10,195,30
198,TRIA,195,115,30
199,TRIA,9,10,30
200,TRIA,115,31,30
201,TRIA,129,196,10
202,TRIA,8,129,10
203,TRIA,196,195,10
204,TRIA,30,33,118
205,TRIA,197,198,195
206,TRIA,195,198,199
207,TRIA,200,201,195
208,TRIA,201,116,195
209,TRIA,116,115,195
210,TRIA,196,197,195
211,TRIA,201,202,116
212,TRIA,40,203,36
213,TRIA,203,204,36
214,TRIA,204,78,36
215,TRIA,201,203,205
216,TRIA,201,205,202
217,TRIA,201,204,203
218,TRIA,78,81,79
219,TRIA,200,204,201
220,TRIA,50,187,78
221,TRIA,206,50,78
222,TRIA,187,81,78
223,TRIA,204,206,78
224,TRIA,187,50,22
225,TRIA,207,196,129
226,TRIA,128,207,129
227,TRIA,208,199,198
228,TRIA,195,199,200
229,TRIA,209,200,199
230,TRIA,147,146,140
231,TRIA,147,140,130
232,TRIA,130,140,126
233,TRIA,210,207,128
234,TRIA,211,68,67
235,TRIA,200,209,68
236,TRIA,212,200,68
237,TRIA,211,212,68
238,TRIA,212,213,200
239,TRIA,213,112,200
240,TRIA,112,204,200
241,TRIA,112,206,204
242,TRIA,123,112,214
243,TRIA,112,213,214
244,TRIA,215,123,214
245,TRIA,215,216,123
246,TRIA,216,124,123
247,TRIA,111,112,123
248,TRIA,114,206,112
249,TRIA,48,50,206
250,TRIA,114,48,206
251,TRIA,23,217,190
252,TRIA,22,23,190
253,TRIA,13,12,15
254,TRIA,51,24,50
255,TRIA,16,25,19
256,TRIA,17,218,18
257,TRIA,21,19,25
258,TRIA,11,14,90
259,TRIA,13,219,14
260,TRIA,220,20,19
261,TRIA,47,28,48
262,TRIA,28,220,51
263,TRIA,58,48,221
264,TRIA,102,58,221
265,TRIA,114,109,221
266,TRIA,109,102,221
267,TRIA,48,114,221
268,TRIA,57,222,58
269,TRIA,222,49,58
270,TRIA,102,54,58
271,TRIA,49,48,58
272,TRIA,222,223,49
273,TRIA,13,224,219
274,TRIA,225,56,226
275,TRIA,56,227,226
276,TRIA,228,225,226
277,TRIA,229,228,226
278,TRIA,230,27,26
279,TRIA,231,229,26
280,TRIA,232,230,26
281,TRIA,231,228,229
282,TRIA,233,234,235
283,TRIA,236,237,238
284,TRIA,233,235,236
285,TRIA,235,239,236
286,TRIA,230,239,235
287,TRIA,16,239,224
288,TRIA,239,232,224
289,TRIA,13,16,224
290,TRIA,230,232,239
291,TRIA,240,238,20
292,TRIA,28,20,220
293,TRIA,236,238,233
294,TRIA,240,233,238
295,TRIA,26,29,231
296,TRIA,241,228,231
297,TRIA,242,57,225
298,TRIA,57,56,225
299,TRIA,29,47,243
300,TRIA,29,28,47
301,TRIA,27,240,28
302,TRIA,28,240,20
303,TRIA,65,109,108
304,TRIA,244,245,246
305,TRIA,244,246,65
306,TRIA,65,246,102
307,TRIA,64,244,65
308,TRIA,65,102,109
309,TRIA,59,247,54
310,TRIA,247,248,54
311,TRIA,248,249,54
312,TRIA,249,52,54
313,TRIA,250,103,102
314,TRIA,246,250,102
315,TRIA,251,227,56
316,TRIA,55,251,56
317,TRIA,55,53,252
318,TRIA,41,253,61
319,TRIA,55,253,41
320,TRIA,46,55,41
321,TRIA,62,247,59
322,TRIA,254,249,248
323,TRIA,255,101,91
324,TRIA,55,46,101
325,TRIA,255,55,101
326,TRIA,251,55,255
327,TRIA,55,252,256
328,TRIA,257,253,55
329,TRIA,257,256,258
330,TRIA,55,256,257
331,TRIA,259,260,261
332,TRIA,260,262,261
333,TRIA,131,134,263
334,TRIA,264,132,265
335,TRIA,264,265,266
336,TRIA,133,132,264
337,TRIA,265,132,267
338,TRIA,132,263,267
339,TRIA,131,263,132
340,TRIA,268,269,270
341,TRIA,271,268,270
342,TRIA,272,126,138
343,TRIA,273,272,138
344,TRIA,138,133,264
345,TRIA,213,212,274
346,TRIA,213,274,275
347,TRIA,212,211,276
348,TRIA,276,211,67
349,TRIA,277,276,67
350,TRIA,126,277,67
351,TRIA,212,276,274
352,TRIA,272,277,126
353,TRIA,215,214,278
354,TRIA,215,278,269
355,TRIA,214,213,275
356,TRIA,214,275,278
357,TRIA,216,215,269
358,TRIA,216,269,268
359,TRIA,138,264,273
360,TRIA,264,266,273
361,TRIA,268,279,124
362,TRIA,268,124,216
363,TRIA,280,281,282
364,TRIA,280,279,281
365,TRIA,279,271,281
366,TRIA,279,268,271
367,TRIA,270,283,281
368,TRIA,270,281,271
369,TRIA,283,284,282
370,TRIA,281,283,282
371,TRIA,285,284,283
372,TRIA,284,280,282
373,TRIA,280,284,286
374,TRIA,287,280,286
375,TRIA,288,280,287
376,TRIA,289,288,287
377,TRIA,290,291,292
378,TRIA,293,290,292
379,TRIA,294,293,292
380,TRIA,288,289,295
381,TRIA,288,295,296
382,TRIA,296,295,294
383,TRIA,292,296,294
384,TRIA,288,296,297
385,TRIA,296,298,297
386,TRIA,299,300,301
387,TRIA,292,299,301
388,TRIA,300,302,301
389,TRIA,299,292,291
390,TRIA,296,292,298
391,TRIA,292,301,298
392,TRIA,288,297,279
393,TRIA,288,279,280
394,TRIA,297,298,303
395,TRIA,297,303,304
396,TRIA,304,303,64
397,TRIA,304,64,121
398,TRIA,141,305,134
399,TRIA,305,263,134
400,TRIA,267,263,305
401,TRIA,306,265,307
402,TRIA,265,306,266
403,TRIA,306,308,266
404,TRIA,309,310,305
405,TRIA,309,305,311
406,TRIA,267,305,312
407,TRIA,267,312,307
408,TRIA,310,312,305
409,TRIA,273,266,308
410,TRIA,307,265,267
411,TRIA,313,273,308
412,TRIA,313,272,273
413,TRIA,313,314,272
