N,X,Y,Z
73063632,718.2216,-753.812,801.3247
73063633,715.4875,-752.756,808.5991
73063634,721.0845,-754.32,796.9727
73063635,723.8716,-754.441,789.0579
73063636,726.6382,-754.172,783.2257
73063637,728.8678,-753.644,778.2863
73063638,733.9385,-753.091,773.8167
73063639,740.181,-752.863,771.8359
73063640,744.5082,-752.725,770.7895
73063641,748.3136,-752.915,771.3637
73063642,752.1153,-753.066,771.9249
73063643,748.8048,-752.138,768.4853
73063644,729.7276,-752.282,771.0951
73063645,734.4444,-751.946,768.9442
73063646,726.1481,-753.024,775.7479
73063647,722.9566,-753.561,780.6933
73063648,719.8506,-753.82,785.7075
73063649,740.4005,-751.873,767.9516
73063650,716.8152,-753.791,790.7746
73063651,713.8618,-753.473,795.8791
73063652,745.9947,-751.936,767.7842
73063653,710.7624,-752.8,801.4444
73063654,708.4144,-751.932,806.706
73063655,753.1943,-752.412,769.5074
73063661,754.2139,-756.2,810.9822
73063662,758.6238,-756.486,792.2632
73063663,794.5996,-755.955,806.7071
73063664,744.0266,-753.449,773.8345
73063665,723.4332,-754.335,802.9696
73063666,764.2612,-756.68,794.612
73063667,728.4238,-754.292,809.5369
73063668,737.7782,-754.278,779.1402
73063669,732.9824,-753.985,778.8415
73063670,760.1564,-754.28,777.3142
73063671,769.5278,-755.821,786.9591
73063723,722.0777,-759.483,796.4925
73063872,749.4717,-758.07,767.412
73063873,735.7159,-755.003,785.0802
73063874,733.4502,-755.363,791.2891
73063877,752.2212,-758.605,771.2264
73063880,725.1386,-759.149,797.0157
73063881,766.4966,-756.529,811.5343
73063882,788.3593,-756.347,804.2703
73063883,787.2824,-756.171,797.6666
73063884,728.461,-754.922,790.3732
73063886,783.5267,-756.553,801.6385
73063887,748.8406,-756.498,799.4346
73063888,756.1822,-755.648,784.8647
73063889,760.7817,-756.777,805.896
73063893,754.6699,-756.626,805.0721
73063896,777.9243,-756.575,796.9266
73063897,741.5393,-755.462,810.3284
73063898,742.0089,-755.951,804.7829
73063900,740.5494,-755.333,785.73
73063904,775.2506,-756.845,802.5999
73063905,745.3927,-756.124,792.2912
73063906,760.4,-756.414,811.2698
73063907,768.752,-756.892,799.7914
73063909,753.5333,-756.127,789.0966
73063910,761.8874,-756.88,800.1005
73063912,751.5298,-755.117,781.7253
73063915,766.7237,-756.361,790.9798
73063918,755.1804,-754.495,778.1835
73063921,736.959,-755.785,798.5408
73063922,777.6011,-755.656,787.8311
73063924,746.958,-754.842,780.5998
73063925,751.5129,-753.97,775.7397
73063927,757.9458,-753.233,772.7676
73063928,745.117,-755.583,786.234
73063932,725.084,-754.741,797.5506
73063934,791.0299,-756.147,802.1402
73063935,728.1642,-754.716,804.9463
73063936,731.0093,-754.616,784.3074
73063938,756.5454,-753.841,775.2116
73063940,786.4108,-756.354,806.3124
73063941,790.4154,-756.125,806.9178
73063943,739.1159,-755.776,791.9405
73063944,748.3547,-756.337,805.0015
73063945,730.0524,-755.217,797.9753
73063946,771.4548,-756.637,795.1206
73063947,774.4045,-756.197,791.1024
73063951,749.5295,-755.856,787.4092
73063952,747.843,-753.624,774.3317
73063953,742.4774,-754.579,779.824
73063986,728.7444,-762.642,804.3776
73063987,728.3052,-761.513,807.3032
73063992,735.0212,-762.876,805.3345
73063994,734.56,-761.774,808.2109
73064018,722.3034,-753.611,809.1163
73064021,766.5071,-764.181,806.3402
73064022,772.7874,-764.413,807.2978
73064025,766.1518,-763.102,808.7764
73064027,772.4153,-763.316,809.6226
73064030,786.5372,-760.374,805.7975
73064034,789.5408,-760.574,806.2022
73064047,761.7385,-753.806,775.3744
73064049,767.4175,-754.425,778.7394
73064050,772.6408,-755.129,783.2534
73064053,747.9155,-755.883,810.6693
73064056,773.6074,-756.769,808.0494
73064057,773.1438,-756.542,811.8013
73064067,779.5422,-756.444,812.037
73064068,785.6943,-756.243,812.2425
73064069,791.5156,-755.955,812.4153
73064071,797.0524,-755.585,812.4629
73064073,782.4787,-756.008,792.5959
73064074,735.0637,-754.934,809.9542
73064163,766.213,-756.822,806.8886
73064215,758.2518,-755.016,780.9357
73064249,772.7645,-761.717,807.5505
73064253,766.4706,-761.435,806.603
73064257,753.2735,-758.251,768.0236
73064258,735.45,-755.345,806.0184
73064276,734.9962,-759.789,805.6363
73064278,728.6999,-759.503,804.6858
73064280,748.4197,-758.425,770.6515
73064281,744.6159,-758.252,770.0753
73064282,745.6435,-757.91,766.9759
73064342,743.2604,-756.206,798.7833
73064347,750.6394,-756.446,794.4118
73064358,755.4024,-756.724,798.31
73064360,761.3553,-756.022,787.5998
73064361,763.9148,-755.225,782.4382
73064376,780.4407,-756.675,806.059
