M,type,N1,N2,N3,N4
1,QUAD,329,39,76,226.0
2,QUAD,171,26,13472,13478.0
3,QUAD,265,251,5,8.0
4,TRIA,7,17,11,
5,QUAD,202,158,5,251.0
6,QUAD,253,10816,280,337.0
8,TRIA,244,10816,35,
9,QUAD,13387,314,9,13389.0
10,QUAD,13706,13463,30,13711.0
11,QUAD,92,123,115,109.0
12,QUAD,304,111,134,305.0
14,QUAD,13422,165,45,175.0
15,QUAD,22,257,19,13719.0
16,QUAD,25,315,13437,1.0
17,QUAD,268,15,23,19.0
19,TRIA,257,255,13715,
20,QUAD,13419,144,3,42.0
21,QUAD,149,327,263,248.0
22,QUAD,6,13471,50,12999.0
23,QUAD,230,130,23,33.0
24,QUAD,183,324,195,169.0
25,QUAD,61,323,146,10.0
26,QUAD,250,31,14,139.0
27,QUAD,308,44,151,260.0
28,QUAD,20,236,235,74.0
29,QUAD,199,54,52,59.0
30,QUAD,48,66,178,52.0
31,QUAD,104,170,239,27.0
32,QUAD,68,13474,174,59.0
33,QUAD,232,330,146,155.0
34,QUAD,14,138,133,139.0
35,TRIA,141,70,24,
36,QUAD,186,206,245,328.0
37,QUAD,81,311,185,173.0
38,QUAD,70,14,31,24.0
39,QUAD,271,341,264,1325.0
40,TRIA,13471,6,128,
41,QUAD,136,13470,50,176.0
43,QUAD,13470,29,12999,50.0
44,QUAD,13474,13531,316,174.0
45,TRIA,13531,13457,47,
46,QUAD,52,178,68,59.0
47,QUAD,255,103,98,18.0
48,QUAD,13531,13474,13411,13457.0
49,QUAD,169,195,149,104.0
50,QUAD,45,132,112,175.0
51,QUAD,155,260,151,232.0
52,QUAD,13698,80,77,13399.0
53,QUAD,329,43,61,10.0
54,QUAD,207,74,235,234.0
55,QUAD,13531,63,55,316.0
56,QUAD,63,67,57,55.0
58,TRIA,268,41,15,
59,QUAD,102,70,141,135.0
61,QUAD,67,20,74,57.0
62,TRIA,61,43,174,
63,QUAD,13474,69,63,13531.0
64,QUAD,52,54,4108,48.0
65,QUAD,69,73,67,63.0
66,QUAD,13541,64,75,4108.0
67,QUAD,13698,317,82,80.0
68,QUAD,20,67,73,79.0
69,QUAD,200,194,13439,13438.0
70,QUAD,48,4108,75,83.0
71,QUAD,93,13424,13467,13540.0
72,QUAD,85,79,73,71.0
73,TRIA,87,13476,13460,
74,QUAD,298,13540,13467,89.0
75,QUAD,228,246,170,248.0
76,QUAD,254,3,139,133.0
77,TRIA,48,83,66,
78,QUAD,27,239,79,85.0
79,QUAD,89,99,299,298.0
80,QUAD,214,13476,87,213.0
81,QUAD,101,180,179,95.0
82,QUAD,92,109,190,191.0
83,QUAD,36,238,89,13467.0
84,QUAD,13467,13424,231,36.0
85,QUAD,106,193,88,126.0
86,QUAD,27,181,169,104.0
87,QUAD,99,62,300,299.0
88,QUAD,97,181,180,101.0
89,QUAD,238,113,99,89.0
90,QUAD,109,302,301,190.0
91,QUAD,13515,148,132,45.0
92,QUAD,302,109,115,303.0
93,QUAD,307,306,107,270.0
94,QUAD,111,127,118,134.0
95,QUAD,154,36,231,13421.0
96,QUAD,237,191,190,62.0
97,QUAD,111,304,303,115.0
98,QUAD,327,168,339,340.0
100,QUAD,13472,26,116,91.0
101,QUAD,296,270,107,125.0
102,QUAD,123,127,111,115.0
103,QUAD,13719,72,223,224.0
104,QUAD,297,125,118,13679.0
105,QUAD,41,49,13475,13737.0
106,QUAD,164,124,92,191.0
107,QUAD,249,13469,53,259.0
108,QUAD,165,13473,13515,45.0
109,QUAD,127,131,13679,118.0
110,QUAD,126,142,152,106.0
111,QUAD,129,131,127,123.0
112,QUAD,296,262,13691,60.0
113,QUAD,117,60,13402,156.0
114,QUAD,252,42,3,254.0
115,QUAD,131,86,13687,13679.0
116,QUAD,13471,128,78,50.0
117,QUAD,13402,60,13691,13403.0
118,QUAD,291,290,135,137.0
119,QUAD,13694,292,291,137.0
120,QUAD,144,250,139,3.0
121,QUAD,14,70,102,138.0
122,QUAD,141,40,137,135.0
123,QUAD,137,40,13701,13694.0
124,QUAD,13715,255,18,336.0
125,QUAD,43,329,226,199.0
126,QUAD,224,247,22,13719.0
127,QUAD,13463,13706,13701,145.0
129,QUAD,24,167,40,141.0
131,QUAD,13711,30,12,13430.0
132,QUAD,130,222,223,72.0
133,QUAD,30,198,34,12.0
134,QUAD,37,312,221,147.0
135,QUAD,13465,281,261,37.0
136,QUAD,72,13719,19,23.0
137,QUAD,323,96,155,146.0
138,QUAD,54,225,13541,4108.0
139,TRIA,49,13462,13475,
141,QUAD,120,13541,4108,229.0
142,QUAD,313,153,113,238.0
143,QUAD,290,289,102,135.0
144,TRIA,13515,13456,51,
145,QUAD,13515,13473,13455,13456.0
146,QUAD,342,87,264,341.0
147,QUAD,345,272,279,278.0
148,QUAD,13687,84,82,13693.0
149,QUAD,86,212,84,13687.0
150,QUAD,88,86,131,129.0
