N,X,Y,Z
1,795.5676298437563,-755.8249157713602,808.1434560527379
2,787.7086828149453,-756.1416205254006,798.2654011812933
3,773.4348960946943,-755.817808333994,788.4126203890423
4,766.202548456951,-763.6941182194233,808.3724023488091
5,777.5562374540358,-756.4608950857483,811.961249090875
6,734.4007993246476,-762.7312040967043,805.2543752517392
7,787.4764729270883,-756.3669972314875,804.7840581249992
8,774.9725031545076,-756.5057083329292,811.8671101982015
9,716.7061699853355,-753.7368210255121,797.7277256171826
11,789.5225302443807,-756.2425170994132,804.2474937016444
12,764.8077738994524,-756.4918086530588,811.4600528500997
13,732.4845678687425,-753.7473422726013,778.1424891446856
14,769.3925511766059,-756.424242983269,793.330253563003
15,780.009769117651,-756.6359513382215,803.9495853095406
16,789.6884495585481,-756.142335731034,800.5673274957699
17,787.4495549626972,-756.319721022818,802.1118081170296
18,783.9563533614188,-756.0360440735292,794.2061277031264
19,778.4221312625583,-756.6530931346972,800.5810161173526
20,729.9086977175466,-754.7197803474742,787.098899400457
21,772.4700945353442,-764.0057057537796,809.2575625714737
22,777.9588499037302,-756.4769903143707,796.6021298008695
23,777.0408893966162,-756.7141216416832,803.489549171451
24,769.3783407807679,-756.7129195761989,798.1595641760409
25,793.487361456942,-755.9378022461572,809.1930206850021
26,749.9829680781402,-755.5702535506941,771.27372678413
27,735.2164286574658,-755.2908432244071,789.6014680409514
28,765.0205994400887,-756.7912726160038,806.4346461538889
29,728.6887244314541,-762.3483782902404,804.7467447101764
30,764.8860002461619,-756.6572792352516,808.9432522022263
31,771.5971417206536,-756.5383415568573,795.371148691273
32,769.5589939713019,-764.5412475028506,806.7761114319906
33,777.423801024893,-756.6598987207117,806.6625015973018
34,767.2173731640927,-756.5201609272084,811.5613462378361
35,783.1774476558238,-756.5109618090166,806.3504996293908
36,755.0151743735681,-753.4189137199775,773.5292603703981
37,770.1331435742532,-756.7977362347052,807.5036296999892
38,769.6581920430989,-761.5657801475783,807.0632184001671
